club_id,club_name,short_name,country,city,stadium
bayern_munich,FC Bayern München,Bayern,Germany,München,Allianz Arena
borussia_dortmund,Borussia Dortmund,Dortmund,Germany,Dortmund,Signal Iduna Park
rb_leipzig,RB Leipzig,Leipzig,Germany,Leipzig,Red Bull Arena
vfb_stuttgart,VfB Stuttgart,Stuttgart,Germany,Stuttgart,MHPArena
hoffenheim,TSG Hoffenheim,Hoffenheim,Germany,Sinsheim,PreZero Arena
bayer_leverkusen,Bayer 04 Leverkusen,Leverkusen,Germany,Leverkusen,BayArena
freiburg,SC Freiburg,Freiburg,Germany,Freiburg,Europa-Park Stadion
eintracht_frankfurt,Eintracht Frankfurt,Frankfurt,Germany,Frankfurt am Main,Deutsche Bank Park
augsburg,FC Augsburg,Augsburg,Germany,Augsburg,WWK Arena
mainz,1. FSV Mainz 05,Mainz,Germany,Mainz,MEWA Arena
union_berlin,1. FC Union Berlin,Union Berlin,Germany,Berlin,Stadion An der Alten Försterei
borussia_monchengladbach,Borussia Mönchengladbach,Gladbach,Germany,Mönchengladbach,Borussia-Park
hamburg,Hamburger SV,HSV,Germany,Hamburg,Volksparkstadion
cologne,1. FC Köln,Köln,Germany,Köln,RheinEnergieStadion
werder_bremen,SV Werder Bremen,Werder Bremen,Germany,Bremen,Weserstadion
wolfsburg,VfL Wolfsburg,Wolfsburg,Germany,Wolfsburg,Volkswagen Arena
heidenheim,1. FC Heidenheim 1846,Heidenheim,Germany,Heidenheim an der Brenz,Voith-Arena
st_pauli,FC St. Pauli,St. Pauli,Germany,Hamburg,Millerntor-Stadion
