player_id,full_name,birth_date,age,nationality,primary_position
manuel_neuer,Manuel Neuer,3/27/86,40,Germany,Goalkeeper
sven_ulreich,Sven Ulreich,8/3/88,37,Germany,Goalkeeper
jonas_urbig,Jonas Urbig,8/8/03,22,Germany,Goalkeeper
alphonso_davies,Alphonso Davies,11/2/00,25,Canada,Defender
raphael_guerreiro,Raphael Guerreiro,12/22/93,32,Portugal,Defender
hiroki_ito,Hiroki Ito,5/12/99,27,Japan,Defender
cassiano_kiala,Cassiano Kiala,1/11/09,17,Germany,Defender
min_jae_kim,Min-Jae Kim,11/15/96,29,South Korea,Defender
deniz_ofli,Deniz Ofli,3/29/07,19,Turkey,Defender
josip_stanisic,Josip Stanisic,4/2/00,26,Croatia,Defender
jonathan_tah,Jonathan Tah,2/11/96,30,Germany,Defender
dayot_upamecano,Dayot Upamecano,10/27/98,27,France,Defender
tom_bischof,Tom Bischof,6/28/05,20,Germany,Midfielder
maycon_cardozo,Maycon Cardozo,10/10/08,17,Brazil,Midfielder
david_daiber,David Daiber,1/10/07,19,Portugal,Midfielder
leon_goretzka,Leon Goretzka,2/6/95,31,Germany,Midfielder
lennart_karl,Lennart Karl,2/22/08,18,Germany,Midfielder
joshua_kimmich,Joshua Kimmich,2/8/95,31,Germany,Midfielder
konrad_laimer,Konrad Laimer,5/27/97,29,Austria,Midfielder
wisdom_mike,Wisdom Mike,9/24/08,17,Germany,Midfielder
jamal_musiala,Jamal Musiala,2/26/03,23,Germany,Midfielder
bara_ndiaye,Bara Ndiaye,12/31/07,18,Senegal,Midfielder
michael_olise,Michael Olise,12/12/01,24,France,Midfielder
erblin_osmani,Erblin Osmani,5/19/09,17,Germany,Midfielder
aleksandar_pavlovic,Aleksandar Pavlovic,5/3/04,22,Germany,Midfielder
luis_diaz,Luis Diaz,1/13/97,29,Colombia,Forward
serge_gnabry,Serge Gnabry,7/14/95,30,Germany,Forward
nicolas_jackson,Nicolas Jackson,6/20/01,24,Senegal,Forward
harry_kane,Harry Kane,7/28/93,32,England,Forward
gregor_kobel,Gregor Kobel,12/6/97,28,Switzerland,Goalkeeper
waldemar_anton,Waldemar Anton,7/20/96,29,Germany,Defender
ramy_bensebaini,Ramy Bensebaini,4/16/95,31,Algeria,Defender
yan_couto,Yan Couto,6/3/02,23,Brazil,Defender
almugera_kabar,Almugera Kabar,6/6/06,19,Germany,Defender
filippo_mane,Filippo Mane,3/8/05,21,Italy,Defender
luca_reggiani,Luca Reggiani,1/9/08,18,Italy,Defender
julian_ryerson,Julian Ryerson,11/17/97,28,Norway,Defender
nico_schlotterbeck,Nico Schlotterbeck,12/1/99,26,Germany,Defender
niklas_sule,Niklas Sule,9/3/95,30,Germany,Defender
