"clubName","squadMarketValueEUR","leaguePosition","performanceScore"
"FC Bayern München","971500000.0","1","18.0"
"RB Leipzig","498800000.0","3","16.0"
"Borussia Dortmund","490300000.0","2","17.0"
"Bayer 04 Leverkusen","443950000.0","6","13.0"
"VfB Stuttgart","400650000.0","4","15.0"
"Eintracht Frankfurt","374350000.0","8","11.0"
"TSG Hoffenheim","256300000.0","5","14.0"
"VfL Wolfsburg","204800000.0","16","3.0"
"SC Freiburg","190675000.0","7","12.0"
"Hamburger SV","175900000.0","13","6.0"
"SV Werder Bremen","172100000.0","15","4.0"
"1. FSV Mainz 05","157550000.0","10","9.0"
"Borussia Mönchengladbach","151050000.0","12","7.0"
"1. FC Köln","150575000.0","14","5.0"
"FC Augsburg","149050000.0","9","10.0"
"1. FC Union Berlin","127050000.0","11","8.0"
"1. FC Heidenheim 1846","63900000.0","17","2.0"
"FC St. Pauli","63000000.0","18","1.0"
