"clubName","transferSpendingEUR","netTransferSpendingEUR","leaguePosition","performanceScore"
"Bayer 04 Leverkusen","199150000.0","-31800000.0","6","13.0"
"RB Leipzig","159500000.0","-38050000.0","3","16.0"
"Borussia Dortmund","99700000.0","23200000.0","2","17.0"
"FC Bayern München","88800000.0","-12900000.0","1","18.0"
"Eintracht Frankfurt","74800000.0","-53400000.0","8","11.0"
"VfL Wolfsburg","68650000.0","30980000.0","16","3.0"
"VfB Stuttgart","59500000.0","-57050000.0","4","15.0"
"SC Freiburg","32700000.0","1150000.0","7","12.0"
"TSG Hoffenheim","29850000.0","-1350000.0","5","14.0"
"FC Augsburg","29000000.0","8250000.0","9","10.0"
"1. FC Köln","24530000.0","12130000.0","14","5.0"
"1. FSV Mainz 05","19850000.0","-5730000.0","10","9.0"
"1. FC Union Berlin","18100000.0","-300000.0","11","8.0"
"Borussia Mönchengladbach","17600000.0","-10650000.0","12","7.0"
"Hamburger SV","15650000.0","7960000.0","13","6.0"
"FC St. Pauli","14500000.0","2450000.0","18","1.0"
"SV Werder Bremen","10650000.0","2150000.0","15","4.0"
"1. FC Heidenheim 1846","1500000.0","-7500000.0","17","2.0"
