"clubName","squadMarketValueEUR","players","nationalities","foreignPlayers","foreignPlayerShare"
"FC Bayern München","971500000.0","29","13","15","51.7241379310344827586207"
"RB Leipzig","498800000.0","26","11","18","69.2307692307692307692308"
"Borussia Dortmund","490300000.0","24","13","15","62.5"
"Bayer 04 Leverkusen","443950000.0","28","15","20","71.4285714285714285714286"
"VfB Stuttgart","400650000.0","33","15","16","48.4848484848484848484848"
"Eintracht Frankfurt","374350000.0","29","14","18","62.0689655172413793103448"
"TSG Hoffenheim","256300000.0","27","14","19","70.3703703703703703703704"
"VfL Wolfsburg","204800000.0","28","15","20","71.4285714285714285714286"
"SC Freiburg","190675000.0","24","8","9","37.5"
"Hamburger SV","175900000.0","30","17","23","76.6666666666666666666667"
"SV Werder Bremen","172100000.0","26","12","17","65.3846153846153846153846"
"1. FSV Mainz 05","157550000.0","28","12","14","50.0"
"Borussia Mönchengladbach","151050000.0","31","13","14","45.1612903225806451612903"
"1. FC Köln","150575000.0","26","13","12","46.1538461538461538461538"
"FC Augsburg","149050000.0","27","14","18","66.6666666666666666666667"
"1. FC Union Berlin","127050000.0","28","16","17","60.7142857142857142857143"
"1. FC Heidenheim 1846","63900000.0","27","6","6","22.2222222222222222222222"
"FC St. Pauli","63000000.0","29","19","24","82.7586206896551724137931"
